AÑO;MES;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_SECTOR;DESC_SECTOR;COD_GRUPO;DESC_GRUPO;COD_GENERO;DESC_GENERO;RANGO_EDAD;NUM_CONTRATOS
2026;01;46;Valencia/València;147;Llíria;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;M;Mujer;>44  ;2
2026;01;46;Valencia/València;002;Ador;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;3
2026;01;46;Valencia/València;126;Foios;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;>44  ;2
2026;01;03;Alicante/Alacant;082;Xàbia/Jávea;C ;CONSTRUCCIÓN;9;Ocupaciones elementales;H;Hombre;25-44;4
2026;01;03;Alicante/Alacant;089;Monòver/Monóvar;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;>44  ;2
2026;01;03;Alicante/Alacant;019;Aspe;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;5
2026;01;12;Castellón/Castelló;027;Benicarló;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;25-44;10
2026;01;46;Valencia/València;186;Paiporta;I ;INDUSTRIA;3;Técnicos, profesionales de apoyo;H;Hombre;>44  ;1
2026;01;03;Alicante/Alacant;065;Elx/Elche;A ;AGRICULTURA;9;Ocupaciones elementales;M;Mujer;>44  ;2
2026;01;12;Castellón/Castelló;135;Vila-real;A ;AGRICULTURA;9;Ocupaciones elementales;M;Mujer;<25  ;3
2026;01;46;Valencia/València;258;Villar del Arzobispo;C ;CONSTRUCCIÓN;9;Ocupaciones elementales;H;Hombre;25-44;4
2026;01;46;Valencia/València;011;Alberic;S ;SERVICIOS;4;Empleados contables, administrativos y otros empleados de oficina;M;Mujer;25-44;1
2026;01;46;Valencia/València;165;Massanassa;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;3
2026;01;46;Valencia/València;165;Massanassa;A ;AGRICULTURA;9;Ocupaciones elementales;H;Hombre;<25  ;1
2026;01;46;Valencia/València;072;Bocairent;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;<25  ;1
2026;01;46;Valencia/València;170;Moixent/Mogente;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;M;Mujer;<25  ;1
2026;01;03;Alicante/Alacant;901;Poblets, els;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;1
