AÑO;MES;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_SECTOR;DESC_SECTOR;COD_GRUPO;DESC_GRUPO;COD_GENERO;DESC_GENERO;RANGO_EDAD;NUM_CONTRATOS
2026;03;46;Valencia/València;204;Puig de Santa Maria, el;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;<25  ;4
2026;03;46;Valencia/València;005;Alaquàs;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;<25  ;3
2026;03;03;Alicante/Alacant;076;Guardamar del Segura;C ;CONSTRUCCIÓN;3;Técnicos, profesionales de apoyo;H;Hombre;>44  ;1
2026;03;46;Valencia/València;203;Pobla Llarga, la;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;M;Mujer;25-44;1
2026;03;46;Valencia/València;172;Montserrat;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);M;Mujer;25-44;1
2026;03;46;Valencia/València;250;València;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;H;Hombre;<25  ;5
2026;03;46;Valencia/València;220;Sagunt/Sagunto;C ;CONSTRUCCIÓN;9;Ocupaciones elementales;H;Hombre;25-44;4
2026;03;03;Alicante/Alacant;048;Callosa d'en Sarrià;C ;CONSTRUCCIÓN;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;3
2026;03;03;Alicante/Alacant;123;Sax;S ;SERVICIOS;4;Empleados contables, administrativos y otros empleados de oficina;M;Mujer;<25  ;2
2026;03;03;Alicante/Alacant;122;Sant Vicent del Raspeig/San Vicente del Raspeig;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;M;Mujer;25-44;2
2026;03;03;Alicante/Alacant;089;Monòver/Monóvar;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;3
2026;03;46;Valencia/València;181;Oliva;S ;SERVICIOS;3;Técnicos, profesionales de apoyo;H;Hombre;<25  ;3
2026;03;03;Alicante/Alacant;082;Xàbia/Jávea;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;25-44;3
2026;03;46;Valencia/València;181;Oliva;S ;SERVICIOS;4;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;25-44;3
2026;03;03;Alicante/Alacant;088;Monforte del Cid;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;1
2026;03;12;Castellón/Castelló;053;Chilches/Xilxes;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;25-44;1
2026;03;12;Castellón/Castelló;040;Castelló de la Plana/Castellón de la Plana;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;5
2026;03;46;Valencia/València;032;Almàssera;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;>44  ;1
2026;03;46;Valencia/València;165;Massanassa;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;25-44;3
2026;03;46;Valencia/València;170;Moixent/Mogente;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;<25  ;1
2026;03;03;Alicante/Alacant;084;Orxa, l'/Lorcha;C ;CONSTRUCCIÓN;9;Ocupaciones elementales;H;Hombre;>44  ;1
2026;03;12;Castellón/Castelló;084;Onda;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;H;Hombre;<25  ;5
